run_tag,query,total_rows,time_min_s,time_mean_s,time_median_s,time_max_s,rows_out,fixed_partitions,master,app_id,aqe_enabled,shuffle_partitions
w4,A,5000000,17.102030038833618,19.601679372787476,19.495044469833374,21.487451314926147,49,256,yarn,application_1769462348291_0003,true,256
w4,B,5000000,14.923404693603516,15.830562782287597,16.261417388916016,16.631632804870605,1510,256,yarn,application_1769462348291_0003,true,256
w4,C,5000000,15.142207145690918,18.71599326133728,18.23989748954773,23.170997381210327,7,256,yarn,application_1769462348291_0003,true,256
